Week Day,Date In,Weight In (kg),Weight out (kg),Est. CO2-e Produced if landfill (ton),Est. Energy Use (kWh),Est. CO2-e Produced by Dehydrator (ton),Reduction (CO2-e Ton),Reduction (%),Cumulative CO2-e Produced (ton),Cumulative CO2-e Reduction (ton),Black Ballon Produced per Cycle,Cumulative CO2-e Produced (Black Balloons),Cumulative CO2-e Reduction (Black Balloons)
Friday,01/01/2016,,,,,,,,,,,,
Saturday,02/01/2016,,,,,,,,,,,,
Sunday,03/01/2016,,,,,,,,,,,,
Monday,04/01/2016,,,,,,,,,,,,
Tuesday,05/01/2016,,,,,,,,,,,,
Wednesday,06/01/2016,,,,,,,,,,,,
Thursday,07/01/2016,,,,,,,,,,,,
Friday,08/01/2016,,,,,,,,,,,,
Saturday,09/01/2016,,,,,,,,,,,,
Sunday,10/01/2016,,,,,,,,,,,,
Monday,11/01/2016,,,,,,,,,,,,
Tuesday,12/01/2016,,,,,,,,,,,,
Wednesday,13/01/2016,,,,,,,,,,,,
Thursday,14/01/2016,,,,,,,,,,,,
Friday,15/01/2016,,,,,,,,,,,,
Saturday,16/01/2016,,,,,,,,,,,,
Sunday,17/01/2016,,,,,,,,,,,,
Monday,18/01/2016,,,,,,,,,,,,
Tuesday,19/01/2016,,,,,,,,,,,,
Wednesday,20/01/2016,579.7,215,0.928,405.8,0.548,0.38,40.94,0.55,0.38,10956,10956,7594
Thursday,21/01/2016,,,,,,,,,,,,
Friday,22/01/2016,598.3,217.7,0.957,418.8,0.565,0.392,40.94,1.11,0.77,11308,22264,15432
Saturday,23/01/2016,,,,,,,,,,,,
Sunday,24/01/2016,,,,,,,,,,,,
Monday,25/01/2016,,,,,,,,,,,,
Tuesday,26/01/2016,,,,,,,,,,,,
Wednesday,27/01/2016,603,0,0.965,422.1,0.57,0.395,40.94,1.68,1.17,11397,33661,23331
Thursday,28/01/2016,610.6,182.9,0.977,427.4,0.577,0.4,40.94,2.26,1.57,11540,45201,31330
Friday,29/01/2016,,,,,,,,,,,,
Saturday,30/01/2016,585.3,209.5,0.936,409.7,0.553,0.383,40.94,2.81,1.95,11062,56263,38997
Sunday,31/01/2016,,,,,,,,,,,,
Monday,01/02/2016,599,227.7,0.958,419.3,0.566,0.392,40.94,3.38,2.34,11321,67585,46844
Tuesday,02/02/2016,574.1,198.9,0.919,401.9,0.543,0.376,40.94,3.92,2.72,10850,78435,54365
Wednesday,03/02/2016,,,,,,,,,,,,
Thursday,04/02/2016,599.7,0,0.96,419.8,0.567,0.393,40.94,4.49,3.11,11334,89769,62221
Friday,05/02/2016,,,,,,,,,,,,
Saturday,06/02/2016,575.5,214.9,0.921,402.9,0.544,0.377,40.94,5.03,3.49,10877,100646,69760
Sunday,07/02/2016,,,,,,,,,,,,
Monday,08/02/2016,602.5,163.6,0.964,421.8,0.569,0.395,40.94,5.6,3.88,11387,112034,77653
Tuesday,09/02/2016,598.7,23.4,0.958,419.1,0.566,0.392,40.94,6.17,4.27,11315,123349,85496
Wednesday,10/02/2016,590.9,227.9,0.945,413.6,0.558,0.387,40.94,6.73,4.66,11168,134517,93237
Thursday,11/02/2016,,,,,,,,,,,,
Friday,12/02/2016,601,207.2,0.962,420.7,0.568,0.394,40.94,7.29,5.06,11359,145876,101110
Saturday,13/02/2016,,,,,,,,,,,,
Sunday,14/02/2016,598.8,219.3,0.958,419.2,0.566,0.392,40.94,7.86,5.45,11317,157193,108954
