Week Day,Date In,# 120 ltr Bins,Weight In (kg),Run time (hr),Date Ejected,Weight out (kg),Weight of Oversized (kg),Volume Out (ltr),Volume of Oversized (ltr),Volume In (ltr),Organics Density (kg/120 ltr),Mass Reduction,Volume Reduction,Weekly Weight In (kg),Weight Collected (kg),Est. CO2-e Produced if landfill (ton),Est. Energy Use (kWh),Est. CO2-e Produced by Dehydrator (ton),Total Monthly Weight In (kg),Total Monthly Weight Out (kg)
Friday,01/01/2016 12:00:00 AM,,,,,,,,,,,,,,0,,,,,
Saturday,01/02/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,01/03/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,01/04/2016 12:00:00 AM,,,,,,,,,,,,,0,,,,,,
Tuesday,01/05/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,01/06/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,01/07/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,01/08/2016 12:00:00 AM,,,,,,,,,,,,,,0,,,,,
Saturday,01/09/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,01/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,01/11/2016 12:00:00 AM,,,,,,,,,,,,,0,,,,,,
Tuesday,01/12/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,01/13/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,01/14/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,01/15/2016 12:00:00 AM,,,,,,,,,,,,,,0,,,,,
Saturday,01/16/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,01/17/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,01/18/2016 12:00:00 AM,,,,,,,,,,,,,0,,,,,,
Tuesday,01/19/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,01/20/2016 12:00:00 AM,8.5,579.7,9.5,21-Jan,215,29.9,370,60,1020,68.2,58,58,,,0.928,405.8,0.548,,
Thursday,01/21/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,01/22/2016 12:00:00 AM,8.5,598.3,9.5,27-Jan,217.7,42.1,390,70,1020,70.39,57,55,,215,0.957,418.8,0.565,,
Saturday,01/23/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,01/24/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,01/25/2016 12:00:00 AM,,,,,,,,,,,,,1178,,,,,,
Tuesday,01/26/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,01/27/2016 12:00:00 AM,8,603,9.5,28-Jan,0,297.1,0,360,960,75.38,51,63,,,0.965,422.1,0.57,,
Thursday,01/28/2016 12:00:00 AM,10,610.6,9.5,30-Jan,182.9,39.1,290,60,1200,61.06,64,71,,,0.977,427.4,0.577,,
Friday,01/29/2016 12:00:00 AM,,,,,,,,,,,,,,217.7,,,,,
Saturday,01/30/2016 12:00:00 AM,10,585.3,9.5,31-Jan,209.5,39.5,300,60,1200,58.53,57,70,,,0.936,409.7,0.553,,
Sunday,01/31/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,2976.9,825.1
Monday,02/01/2016 12:00:00 AM,10,599,9.5,2-Feb,227.7,26.3,408,55,1200,59.9,58,61,1798.9,,0.958,419.3,0.566,,
Tuesday,02/02/2016 12:00:00 AM,8.2,574.1,9.5,3-Feb,198.9,29,340,40,984,70.01,60,61,,,0.919,401.9,0.543,,
Wednesday,02/03/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,02/04/2016 12:00:00 AM,11,599.7,9.5,6-Feb,0,272.6,0,400,1320,54.52,55,70,,,0.96,419.8,0.567,,
Friday,02/05/2016 12:00:00 AM,,,,,,,,,,,,,,819,,,,,
Saturday,02/06/2016 12:00:00 AM,9,575.5,9.5,7-Feb,214.9,28.2,400,40,1080,63.94,58,59,,,0.921,402.9,0.544,,
Sunday,02/07/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,02/08/2016 12:00:00 AM,10,602.5,9.5,9-Feb,163.6,93.7,240,130,1200,60.25,57,69,2348.3,,0.964,421.8,0.569,,
Tuesday,02/09/2016 12:00:00 AM,10,598.7,10,10-Feb,23.4,240.4,40,390,1200,59.87,56,64,,,0.958,419.1,0.566,,
Wednesday,02/10/2016 12:00:00 AM,10,590.9,10,11-Feb,227.9,17.4,370,30,1200,59.09,58,67,,,0.945,413.6,0.558,,
Thursday,02/11/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,02/12/2016 12:00:00 AM,10,601,10,13-Feb,207.2,68.4,270,30,1200,60.1,54,75,,629.8,0.962,420.7,0.568,,
Saturday,02/13/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,02/14/2016 12:00:00 AM,9,598.8,10,15-Feb,219.3,42.6,345,90,1080,66.53,56,60,,,0.958,419.2,0.566,,
Monday,02/15/2016 12:00:00 AM,9,591.6,10,16-Feb,190.5,28.6,310,60,1080,65.73,63,66,2991.9,,0.947,414.1,0.559,,
Tuesday,02/16/2016 12:00:00 AM,10,612.1,10,17-Feb,148.6,53.8,260,90,1200,61.21,67,71,,,0.979,428.5,0.578,,
Wednesday,02/17/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
